Timestamp,eventid,event-type,event,codereference,domainVal,domain,pcap-id,cap-length,layers,highest-layer,epoch-time,arrival-time,access-address,adv-address,adv-header,crc,ppi-flags,ppi-version,ppi-dlt,ppi-headerlength,Ppi-reserved
5/1/2015 0:43,1,write,OP-write,abc.js,0,wearable,1,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00002202,0x00002202,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:03,2,write,OP-write,def.js,0,wearable,2,54,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00001500,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:06,3,read,OP-read,abc.js,0,wearable,3,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00002202,0x006a7d70,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:09,4,request,request to api,index.html,1,web app,,,,,,,,,,,,,,,
5/1/2015 1:12,5,read,OP-read,xyz.js,0,wearable,4,54,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00001500,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:24,6,request,request to api,index.html,1,web app,,,,,,,,,,,,,,,
5/1/2015 1:31,7,write,OP-write,abc.js,0,wearable,5,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00002202,0x006a7d70,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:33,8,write,OP-write,abc.js,0,wearable,6,54,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00002202,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:53,9,read,OP-read,xyz.js,0,wearable,7,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480245,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00001500,0x006a7d70,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:56,10,source,ADV_IND,abc.js,0,wearable,8,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480246,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00002202,0x006a7d70,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 1:59,11,function handler,function orientation handler,mobile.html,2,mobile,,,,,,,,,,,,,,,
5/1/2015 2:03,12,function handler,function orientation handler,mobile.html,2,mobile,,,,,,,,,,,,,,,
5/1/2015 2:15,13,write,OP-write,xyz.js,0,wearable,9,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480246,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00001500,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 2:25,14,write,OP-write,xyz.js,0,wearable,10,54,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480246,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00002202,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 2:52,15,read,OP-read,xyz.js,0,wearable,11,67,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480246,"June 22, 2017, 9:07 p.m.",0x8e89bed6,24:4b:03:1f:40:c3,0x00001500,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 2:53,16,request,request to api,index.html,2,mobile,,,,,,,,,,,,,,,
5/1/2015 3:01,17,function handler,function orientation handler,index.html,2,mobile,,,,,,,,,,,,,,,
5/1/2015 3:05,18,function handler,function orientation handler,index.html,2,mobile,,,,,,,,,,,,,,,
5/1/2015 3:13,19,request,request to api,index.html,1,web app,,,,,,,,,,,,,,,
5/1/2015 3:16,20,function handler,function devices handler,abc.js,2,mobile,,,,,,,,,,,,,,,
5/1/2015 3:19,21,write,OP Write,abc.js,0,wearable,12,54,Layer BTLE: ..00 .... = RFU: 0 00.. .... = RFU,BTLE,1440480246,"June 22, 2017, 9:07 p.m.",0x8e89bed6,b8:78:2e:02:7d:43,0x00002202,0x003a5dc5,0x00000000,0,147,24,36:75:0c:00:00:62:09:03:59:d6:bd:8f:80:7f:00:00
5/1/2015 3:21,22,function handler,function temperature handler,mobile.html,2,mobile,,,,,,,,,,,,,,,
